To_be_vote,first_priority,second_priority,third_priority,capable_to_handing_protest,Others_as_candidate,president_in_perspective,expectation,Executive_system,promisses_followed,born_year,district,ethnic_group,gender
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Rohan Pallewatte,Gotabhaya Rajapakse,Nope,Gotabhaya Rajapakse,,Need an executive president,No,1987,Gampaha,Sinhalese,Male
Yes,Vijithakumara Keerthiratne,Ajantha Perera,Ajantha Perera,Ajantha de Soysa, No,Ajantha de Soysa,Development,Need an executive president,Yes,1996,Jaffna,Tamils,Male
Yes,Sajith Premadasa,No one,No One,No one,V.Pirabaharan,Sajith Premadasa,Peace,Need an executive president,No,1993,Jaffna,Tamils,Male
Yes,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,Better future ,Need an executive president,No,1995,Galle,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,No,Gotabhaya Rajapakse,Developed country ,Need an executive president,No,1992,Kandy,Sinhalese,Female
Yes,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Mahesh Senanayake,Gotabhaya Rajapakse,No one,Gotabhaya Rajapakse,No corruption ,Need an executive president,No,1955,Kurunegala,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Rohan Pallewatte,Rohan Pallewatte,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1997,Gampaha,Sinhalese,Male
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,,Gotabhaya Rajapakse,,Need an executive president,No,1996,Galle,Sinhalese,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,No One,No one,,Gotabhaya Rajapakse,,Need an executive president,No,1993,Jaffna,Tamils,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,No One,Sajith Premadasa,,Sajith Premadasa,,Abolish the executive president position,No,1989,Kurunegala,Sinhalese,Male
Yes,Sajith Premadasa,Subramanium Gunaratnam,M.K. Sivajalingam,Sajith Premadasa,,Sajith Premadasa,Peace,Need an executive president,No,1990,Jaffna,Tamils,Female
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,no,Gotabhaya Rajapakse,Peace full country ,Need an executive president,No,1987,Puttalam,Sinhalese,Female
